"year","iso2c","LUR_PT","BGS_BP6_USD","CG01_GALM_G01_XDC","NGDP_R_CH_SA_XDC","BCG_GALM_G01_XDC"
"1976","BS",NA,"140.7",NA,NA,NA
"1976","BW",NA,"-42.0900105709062",NA,NA,NA
"1976","CA","0","-1515.99727058042",NA,NA,NA
"1976","CH",NA,NA,NA,"326078.076804028",NA
"1976","CL",NA,"425",NA,NA,NA
"1976","CO",NA,"468.332519999669",NA,"189546780.595921",NA
"1976","CY",NA,"-79.4161805780396",NA,NA,NA
"1976","DE","4.60833333333333","11062.7605963336",NA,NA,NA
"1976","DK","10.0249999996667","-1771.03946033194",NA,"973700",NA
"1976","DM",NA,"-5.49973626485803",NA,NA,NA
"1976","DO",NA,"-145.8",NA,NA,NA
"1976","EC",NA,"102.5",NA,NA,NA
"1976","ES",NA,"-4985.99166025522",NA,NA,NA
"1976","FI",NA,"-638.897356294181",NA,NA,NA
"1976","FR",NA,"-1149.03655698027",NA,"995031",NA
"1976","GB","5.23333333233333","-2740.70589342899",NA,"773684.486500177",NA
"1976","GH",NA,"-59.043803000175",NA,NA,NA
"1976","GR",NA,"-1608",NA,NA,NA
"1976","HN",NA,"-60.9",NA,NA,NA
"1976","HT",NA,"-70.760000014152",NA,NA,NA
"1976","IL",NA,"-2684",NA,NA,NA
"1976","IN",NA,"702.501190097607",NA,NA,NA
"1976","IR",NA,"7737",NA,NA,NA
"1976","IS",NA,"29.4",NA,NA,NA
"1976","IT",NA,"-2741.19814221768",NA,NA,NA
"1976","JM",NA,"-235.3",NA,NA,NA
"1976","JO",NA,"-744.013255918511",NA,NA,NA
"1976","KE",NA,"3.22690714726335",NA,NA,NA
"1976","KR",NA,"-254",NA,NA,NA
"1976","KW",NA,"5957.84875360692",NA,NA,NA
"1976","LC",NA,"-18.499460579359",NA,NA,NA
"1976","LK",NA,"-50.8796956785",NA,NA,NA
"1976","LS",NA,"-180.4349998431",NA,NA,NA
"1976","MA",NA,"-1782.63021720746",NA,NA,NA
"1976","MG",NA,"-63.4861956628568",NA,NA,NA
"1976","ML",NA,"-77.7985417315069",NA,NA,NA
"1976","MM",NA,"-35.9344559280098",NA,NA,NA
"1976","MR",NA,"-151.591712989724",NA,NA,NA
"1976","MT",NA,"-28.9319296670247",NA,NA,NA
"1976","MU",NA,"-48.192590770549",NA,NA,NA
"1976","MY",NA,"1046.98858025928",NA,NA,NA
"1976","NE",NA,"-107.030538180919",NA,NA,NA
"1976","NL",NA,"2947.0613983436",NA,NA,NA
"1976","NO",NA,"-3009.94045523133",NA,NA,NA
"1976","NP",NA,"-33.456",NA,NA,NA
"1976","OM",NA,"418.934569828994",NA,NA,NA
"1976","PG",NA,"9.46654388942423",NA,NA,NA
"1976","PK",NA,"-1194.10812290638",NA,NA,NA
"1976","PL",NA,"-2721",NA,"630907.038220729",NA
"1976","PT",NA,"-2109.87154990519",NA,NA,NA
"1976","PY",NA,"-52.2",NA,NA,NA
"1976","RO",NA,"102",NA,"310302.432971642",NA
"1976","SA",NA,"19067.9886739569",NA,NA,NA
"1976","SB",NA,"-7.45463062916268",NA,NA,NA
"1976","SC",NA,"-7.04957844147193",NA,NA,NA
"1976","SE",NA,"-729.921798335495",NA,NA,NA
"1976","SG",NA,"-478.379499708445",NA,NA,NA
"1976","SN",NA,"-138.229469251838",NA,NA,NA
"1976","ST",NA,"-1.35608238754621",NA,NA,NA
"1976","SV",NA,"8.36",NA,NA,NA
"1976","SZ",NA,"21.1599999816",NA,NA,NA
"1976","TG",NA,"-58.0078314653264",NA,NA,NA
"1976","TH",NA,"-432.938992181746",NA,NA,NA
"1976","TN",NA,"-426.797272291522",NA,NA,NA
"1976","TO",NA,"-9.88185185616186",NA,NA,NA
"1976","TR",NA,"-2849",NA,NA,NA
"1976","TT",NA,"388.909301600329",NA,NA,NA
"1976","TZ",NA,"-70.9103443799",NA,NA,NA
"1976","US","7.71666666666667","-6820",NA,"5669250",NA
"1976","VE",NA,"278",NA,NA,NA
"1976","ZA",NA,"-433.549999623001",NA,NA,NA
"1977","AG",NA,"-12.2",NA,NA,NA
"1977","AN",NA,"97.1111111650615",NA,NA,NA
"1977","AR",NA,"1836",NA,NA,NA
"1977","AT","1.82499999941667",NA,NA,NA,NA
"1977","AU","5.6499999995",NA,NA,"520030",NA
"1977","BB",NA,"-68.25",NA,NA,NA
"1977","BD",NA,"-663.36988901433",NA,NA,NA
"1977","BH",NA,"-28.5605965589803",NA,NA,NA
"1977","BJ",NA,"-165.170350740429",NA,NA,NA
"1977","BO",NA,"-65.8",NA,NA,NA
"1977","BR",NA,"-1686",NA,NA,NA
"1977","BS",NA,"122.9",NA,NA,NA
"1977","BW",NA,"-73.2814201392245",NA,NA,NA
"1977","CA","0","-510.403180723818",NA,NA,NA
"1977","CF",NA,"-46.267561469392",NA,NA,NA
"1977","CH",NA,"47.4303400030541",NA,"333771.082800516",NA
"1977","CL",NA,"-282",NA,NA,NA
"1977","CM",NA,"-83.441982064092",NA,NA,NA
"1977","CO",NA,"647.016799997133",NA,"197432280.521662",NA
"1977","CR",NA,"-166.4",NA,NA,NA
"1977","CV",NA,"-46.5363660829111",NA,NA,NA
"1977","CY",NA,"-183.523744325985",NA,NA,NA
"1977","DE","4.54166666666667","13174.2307673247",NA,NA,NA
"1977","DK","11.4416666661667","-1559.01010454573",NA,"991911",NA
"1977","DM",NA,"-7.2",NA,NA,NA
"1977","DO",NA,"-169.8",NA,NA,NA
"1977","DZ",NA,"-1435.82034997679",NA,NA,NA
"1977","EC",NA,"-183.3",NA,NA,NA
"1977","EG",NA,"-1911.55237452",NA,NA,NA
"1977","ES",NA,"-2878.92635402756",NA,NA,NA
"1977","ET",NA,"-139.227053207356",NA,NA,NA
"1977","FI",NA,"506.467704015517",NA,NA,NA
"1977","FR",NA,"1786.5991285837",NA,"1029780",NA
"1977","GB","5.61666666583333","1652.74816821369",NA,"791889",NA
"1977","GD",NA,"-4.03333333333334",NA,NA,NA
"1977","GH",NA,"-103.391778220753",NA,NA,NA
"1977","GR",NA,"-1841",NA,NA,NA
"1977","GT",NA,"-104.8",NA,NA,NA
"1977","GY",NA,"-71.9607843419449",NA,NA,NA
"1977","HN",NA,"-74.85",NA,NA,NA
"1977","HT",NA,"-88.960000017792",NA,NA,NA
"1977","IL",NA,"-1994",NA,NA,NA
"1977","IN",NA,"962.429102009109",NA,NA,NA
"1977","IR",NA,"2856",NA,NA,NA
"1977","IS",NA,"10.2",NA,NA,NA
"1977","IT",NA,"2216.65801091718",NA,NA,NA
"1977","JM",NA,"31.3",NA,NA,NA
"1977","JO",NA,"-959.770210688483",NA,NA,NA
"1977","KE",NA,"119.373254181896",NA,NA,NA
"1977","KR",NA,"282",NA,NA,NA
"1977","KW",NA,"4044.44352799859",NA,NA,NA
"1977","LC",NA,"-21.9",NA,NA,NA
"1977","LK",NA,"86.3081733728999",NA,NA,NA
"1977","LS",NA,"-206.3099998206",NA,NA,NA
"1977","LY",NA,"4311.41933082955",NA,NA,NA
"1977","MA",NA,"-2235.67107098756",NA,NA,NA
"1977","MG",NA,"-62.6834840308762",NA,NA,NA
"1977","ML",NA,"-58.0837601977851",NA,NA,NA
